"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 27 22:35:03 GMT 2023","Fri Jan 27 22:35:17 GMT 2023","13134","chromium","","Login tests for mageto web site","","","User should be able to create an account and then log out",""
"passed","Fri Jan 27 22:35:09 GMT 2023","Fri Jan 27 22:35:22 GMT 2023","12869","chromium","","Products tests for mageto web site","","","User should be able to add product to the cart with right size and color",""
"failed","Fri Jan 27 22:36:03 GMT 2023","Fri Jan 27 22:36:30 GMT 2023","26958","chromium","","Wishlist tests for mageto web site","","","User should be able to add product from wishlist to cart",""
"passed","Fri Jan 27 22:35:03 GMT 2023","Fri Jan 27 22:35:09 GMT 2023","5516","chromium","","Products tests for mageto web site","","","User should see banners & content on the main page",""
"passed","Fri Jan 27 22:35:22 GMT 2023","Fri Jan 27 22:35:31 GMT 2023","9840","chromium","","Products tests for mageto web site","","","User should not be able to submit a form with non-existing order id and the rest valid data",""
"passed","Fri Jan 27 22:35:31 GMT 2023","Fri Jan 27 22:35:38 GMT 2023","6511","chromium","","Products tests for mageto web site","","","User should not be able to search items after entering invalid data",""
"passed","Fri Jan 27 22:35:24 GMT 2023","Fri Jan 27 22:35:42 GMT 2023","17878","chromium","","Products tests for mageto web site","","","User should be able to add most expensive searched item to the cart",""
"passed","Fri Jan 27 22:35:17 GMT 2023","Fri Jan 27 22:35:24 GMT 2023","7406","chromium","","Products tests for mageto web site","","","User should be able to see tees products image, price, reviews and ""Add To Cart"" button appears on mouse over",""
"passed","Fri Jan 27 22:35:03 GMT 2023","Fri Jan 27 22:35:26 GMT 2023","23202","chromium","","Login tests for mageto web site","","","User should be able to reset password and log in using new one",""
"passed","Fri Jan 27 22:35:40 GMT 2023","Fri Jan 27 22:35:53 GMT 2023","13432","chromium","","Products tests for mageto web site","","","User should be able to sort items by product name and price in descending and ascending directions",""
