"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 30 20:18:33 GMT 2023","Mon Jan 30 20:18:40 GMT 2023","6541","chromium","","Products tests for mageto web site","","","User should not be able to search items after entering invalid data",""
"passed","Mon Jan 30 20:18:26 GMT 2023","Mon Jan 30 20:18:46 GMT 2023","20046","chromium","","Products tests for mageto web site","","","User should be able to add most expensive searched item to the cart",""
"passed","Mon Jan 30 20:18:19 GMT 2023","Mon Jan 30 20:18:26 GMT 2023","7468","chromium","","Products tests for mageto web site","","","User should be able to see tees products image, price, reviews and ""Add To Cart"" button appears on mouse over",""
"passed","Mon Jan 30 20:18:24 GMT 2023","Mon Jan 30 20:18:33 GMT 2023","9067","chromium","","Products tests for mageto web site","","","User should not be able to submit a form with non-existing order id and the rest valid data",""
"passed","Mon Jan 30 20:18:05 GMT 2023","Mon Jan 30 20:18:11 GMT 2023","5365","chromium","","Products tests for mageto web site","","","User should see banners & content on the main page",""
"passed","Mon Jan 30 20:18:05 GMT 2023","Mon Jan 30 20:18:28 GMT 2023","23234","chromium","","Login tests for mageto web site","","","User should be able to reset password and log in using new one",""
"passed","Mon Jan 30 20:18:40 GMT 2023","Mon Jan 30 20:19:04 GMT 2023","23791","chromium","","Wishlist tests for mageto web site","","","User should be able to add product from wishlist to cart",""
"passed","Mon Jan 30 20:18:11 GMT 2023","Mon Jan 30 20:18:24 GMT 2023","13463","chromium","","Products tests for mageto web site","","","User should be able to add product to the cart with right size and color",""
"passed","Mon Jan 30 20:18:42 GMT 2023","Mon Jan 30 20:18:57 GMT 2023","14955","chromium","","Products tests for mageto web site","","","User should be able to sort items by product name and price in descending and ascending directions",""
"passed","Mon Jan 30 20:18:05 GMT 2023","Mon Jan 30 20:18:19 GMT 2023","13578","chromium","","Login tests for mageto web site","","","User should be able to create an account and then log out",""
