"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 22:30:39 GMT 2023","Thu Feb 09 22:30:58 GMT 2023","19309","chromium","","Products tests for mageto web site","","","User should be able to add product to the cart with right size and color",""
"passed","Thu Feb 09 22:31:19 GMT 2023","Thu Feb 09 22:31:47 GMT 2023","28188","chromium","","Wishlist tests for mageto web site","","","User should be able to add product from wishlist to cart",""
"passed","Thu Feb 09 22:30:31 GMT 2023","Thu Feb 09 22:30:49 GMT 2023","17584","chromium","","Login tests for mageto web site","","","User should be able to create an account and then log out",""
"passed","Thu Feb 09 22:31:19 GMT 2023","Thu Feb 09 22:31:37 GMT 2023","18222","chromium","","Products tests for mageto web site","","","User should be able to sort items by product name and price in descending and ascending directions",""
"passed","Thu Feb 09 22:30:58 GMT 2023","Thu Feb 09 22:31:12 GMT 2023","13492","chromium","","Products tests for mageto web site","","","User should not be able to submit a form with non-existing order id and the rest valid data",""
"passed","Thu Feb 09 22:30:31 GMT 2023","Thu Feb 09 22:30:59 GMT 2023","28099","chromium","","Login tests for mageto web site","","","User should be able to reset password and log in using new one",""
"passed","Thu Feb 09 22:30:49 GMT 2023","Thu Feb 09 22:30:58 GMT 2023","9742","chromium","","Products tests for mageto web site","","","User should be able to see tees products image, price, reviews and ""Add To Cart"" button appears on mouse over",""
"passed","Thu Feb 09 22:30:58 GMT 2023","Thu Feb 09 22:31:24 GMT 2023","25958","chromium","","Products tests for mageto web site","","","User should be able to add most expensive searched item to the cart",""
"passed","Thu Feb 09 22:31:12 GMT 2023","Thu Feb 09 22:31:19 GMT 2023","7139","chromium","","Products tests for mageto web site","","","User should not be able to search items after entering invalid data",""
"passed","Thu Feb 09 22:30:31 GMT 2023","Thu Feb 09 22:30:39 GMT 2023","7936","chromium","","Products tests for mageto web site","","","User should see banners & content on the main page",""
