"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 30 20:59:56 GMT 2023","Mon Jan 30 21:00:01 GMT 2023","5097","chromium","","Products tests for mageto web site","","","User should see banners & content on the main page",""
"passed","Mon Jan 30 21:00:10 GMT 2023","Mon Jan 30 21:00:17 GMT 2023","7450","chromium","","Products tests for mageto web site","","","User should be able to see tees products image, price, reviews and ""Add To Cart"" button appears on mouse over",""
"passed","Mon Jan 30 20:59:56 GMT 2023","Mon Jan 30 21:00:22 GMT 2023","26676","chromium","","Login tests for mageto web site","","","User should be able to reset password and log in using new one",""
"passed","Mon Jan 30 20:59:56 GMT 2023","Mon Jan 30 21:00:10 GMT 2023","14247","chromium","","Login tests for mageto web site","","","User should be able to create an account and then log out",""
"passed","Mon Jan 30 21:00:17 GMT 2023","Mon Jan 30 21:00:36 GMT 2023","18719","chromium","","Products tests for mageto web site","","","User should be able to add most expensive searched item to the cart",""
"passed","Mon Jan 30 21:00:22 GMT 2023","Mon Jan 30 21:00:36 GMT 2023","13480","chromium","","Products tests for mageto web site","","","User should be able to sort items by product name and price in descending and ascending directions",""
"passed","Mon Jan 30 21:00:25 GMT 2023","Mon Jan 30 21:00:32 GMT 2023","6951","chromium","","Products tests for mageto web site","","","User should not be able to search items after entering invalid data",""
"passed","Mon Jan 30 21:00:01 GMT 2023","Mon Jan 30 21:00:14 GMT 2023","13336","chromium","","Products tests for mageto web site","","","User should be able to add product to the cart with right size and color",""
"passed","Mon Jan 30 21:00:14 GMT 2023","Mon Jan 30 21:00:25 GMT 2023","10441","chromium","","Products tests for mageto web site","","","User should not be able to submit a form with non-existing order id and the rest valid data",""
"failed","Mon Jan 30 21:00:44 GMT 2023","Mon Jan 30 21:01:14 GMT 2023","29402","chromium","","Wishlist tests for mageto web site","","","User should be able to add product from wishlist to cart",""
