"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 27 21:07:03 GMT 2023","Fri Jan 27 21:07:16 GMT 2023","12597","chromium","","Products tests for mageto web site","","","User should be able to add product to the cart with right size and color",""
"passed","Fri Jan 27 21:06:58 GMT 2023","Fri Jan 27 21:07:20 GMT 2023","21450","chromium","","Login tests for mageto web site","","","User should be able to reset password and log in using new one",""
"passed","Fri Jan 27 21:07:11 GMT 2023","Fri Jan 27 21:07:18 GMT 2023","7088","chromium","","Products tests for mageto web site","","","User should be able to see tees products image, price, reviews and ""Add To Cart"" button appears on mouse over",""
"passed","Fri Jan 27 21:06:58 GMT 2023","Fri Jan 27 21:07:03 GMT 2023","5259","chromium","","Products tests for mageto web site","","","User should see banners & content on the main page",""
"passed","Fri Jan 27 21:07:25 GMT 2023","Fri Jan 27 21:07:32 GMT 2023","6245","chromium","","Products tests for mageto web site","","","User should not be able to search items after entering invalid data",""
"passed","Fri Jan 27 21:07:32 GMT 2023","Fri Jan 27 21:07:53 GMT 2023","21254","chromium","","Wishlist tests for mageto web site","","","User should be able to add product from wishlist to cart",""
"passed","Fri Jan 27 21:07:16 GMT 2023","Fri Jan 27 21:07:25 GMT 2023","9326","chromium","","Products tests for mageto web site","","","User should not be able to submit a form with non-existing order id and the rest valid data",""
"passed","Fri Jan 27 21:06:58 GMT 2023","Fri Jan 27 21:07:11 GMT 2023","12799","chromium","","Login tests for mageto web site","","","User should be able to create an account and then log out",""
"failed","Fri Jan 27 21:07:31 GMT 2023","Fri Jan 27 21:07:41 GMT 2023","10159","chromium","","Products tests for mageto web site","","","User should be able to sort items by product name and price in descending and ascending directions",""
"passed","Fri Jan 27 21:07:18 GMT 2023","Fri Jan 27 21:07:37 GMT 2023","18741","chromium","","Products tests for mageto web site","","","User should be able to add most expensive searched item to the cart",""
