"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 27 21:10:54 GMT 2023","Fri Jan 27 21:11:00 GMT 2023","5521","chromium","","Products tests for mageto web site","","","User should be able to see tees products image, price, reviews and ""Add To Cart"" button appears on mouse over",""
"passed","Fri Jan 27 21:11:15 GMT 2023","Fri Jan 27 21:11:21 GMT 2023","5471","chromium","","Products tests for mageto web site","","","User should not be able to search items after entering invalid data",""
"passed","Fri Jan 27 21:11:00 GMT 2023","Fri Jan 27 21:11:15 GMT 2023","15716","chromium","","Products tests for mageto web site","","","User should be able to add most expensive searched item to the cart",""
"passed","Fri Jan 27 21:10:36 GMT 2023","Fri Jan 27 21:10:57 GMT 2023","21153","chromium","","Login tests for mageto web site","","","User should be able to reset password and log in using new one",""
"failed","Fri Jan 27 21:11:12 GMT 2023","Fri Jan 27 21:11:23 GMT 2023","10890","chromium","","Products tests for mageto web site","","","User should be able to sort items by product name and price in descending and ascending directions",""
"broken","Fri Jan 27 21:15:39 GMT 2023","Fri Jan 27 21:20:40 GMT 2023","300838","chromium","","Login tests for mageto web site","","","User should be able to create an account and then log out",""
"passed","Fri Jan 27 21:11:21 GMT 2023","Fri Jan 27 21:11:41 GMT 2023","19795","chromium","","Wishlist tests for mageto web site","","","User should be able to add product from wishlist to cart",""
"passed","Fri Jan 27 21:10:57 GMT 2023","Fri Jan 27 21:11:05 GMT 2023","7197","chromium","","Products tests for mageto web site","","","User should not be able to submit a form with non-existing order id and the rest valid data",""
"passed","Fri Jan 27 21:10:37 GMT 2023","Fri Jan 27 21:10:41 GMT 2023","4875","chromium","","Products tests for mageto web site","","","User should see banners & content on the main page",""
"passed","Fri Jan 27 21:10:41 GMT 2023","Fri Jan 27 21:10:54 GMT 2023","12607","chromium","","Products tests for mageto web site","","","User should be able to add product to the cart with right size and color",""
