"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 09 22:02:30 GMT 2023","Thu Feb 09 22:02:39 GMT 2023","9153","chromium","","Products tests for mageto web site","","","User should not be able to submit a form with non-existing order id and the rest valid data",""
"passed","Thu Feb 09 22:02:39 GMT 2023","Thu Feb 09 22:02:46 GMT 2023","6586","chromium","","Products tests for mageto web site","","","User should not be able to search items after entering invalid data",""
"passed","Thu Feb 09 22:02:35 GMT 2023","Thu Feb 09 22:02:48 GMT 2023","13467","chromium","","Products tests for mageto web site","","","User should be able to sort items by product name and price in descending and ascending directions",""
"passed","Thu Feb 09 22:02:23 GMT 2023","Thu Feb 09 22:02:30 GMT 2023","6760","chromium","","Products tests for mageto web site","","","User should be able to see tees products image, price, reviews and ""Add To Cart"" button appears on mouse over",""
"passed","Thu Feb 09 22:02:10 GMT 2023","Thu Feb 09 22:02:35 GMT 2023","24766","chromium","","Login tests for mageto web site","","","User should be able to reset password and log in using new one",""
"passed","Thu Feb 09 22:02:10 GMT 2023","Thu Feb 09 22:02:23 GMT 2023","13083","chromium","","Login tests for mageto web site","","","User should be able to create an account and then log out",""
"passed","Thu Feb 09 22:02:16 GMT 2023","Thu Feb 09 22:02:30 GMT 2023","14601","chromium","","Products tests for mageto web site","","","User should be able to add product to the cart with right size and color",""
"passed","Thu Feb 09 22:02:10 GMT 2023","Thu Feb 09 22:02:16 GMT 2023","5413","chromium","","Products tests for mageto web site","","","User should see banners & content on the main page",""
"passed","Thu Feb 09 22:02:46 GMT 2023","Thu Feb 09 22:03:08 GMT 2023","21970","chromium","","Wishlist tests for mageto web site","","","User should be able to add product from wishlist to cart",""
"passed","Thu Feb 09 22:02:30 GMT 2023","Thu Feb 09 22:02:50 GMT 2023","20162","chromium","","Products tests for mageto web site","","","User should be able to add most expensive searched item to the cart",""
